# /home/xozidok/work/codes/contra/contra 0 1 1 1 0 9.56 0 0.032 0.0134 0 1
# Standard model of Adiabatic Contraction
# Dark matter profile: Navarro, Frenk & White (1997) model, c=9.56
# Baryon distribution: Exponential model, fb=0.032 rb=0.0134
# Tracer population: Exponential model with isotropic velocity distribution
# los velocity dispersion integrated out to 3 R_vir
#
# r_i       r_f       m_i       m_f       rho_i     rho_f   gam_i gam_f   v_circ  sigma_los
1.000e-04 5.492e-05 3.043e-07 1.007e-06 4.840e+04 1.600e+05 1.002 1.006 1.376e-01 1.080e+00
1.122e-04 6.163e-05 3.830e-07 1.267e-06 4.313e+04 1.425e+05 1.002 1.006 1.457e-01 1.080e+00
1.259e-04 6.915e-05 4.821e-07 1.595e-06 3.843e+04 1.269e+05 1.002 1.007 1.543e-01 1.081e+00
1.413e-04 7.759e-05 6.069e-07 2.007e-06 3.424e+04 1.130e+05 1.003 1.008 1.634e-01 1.081e+00
1.585e-04 8.707e-05 7.638e-07 2.525e-06 3.050e+04 1.006e+05 1.003 1.009 1.730e-01 1.082e+00
1.778e-04 9.770e-05 9.613e-07 3.176e-06 2.718e+04 8.960e+04 1.003 1.010 1.832e-01 1.082e+00
1.995e-04 1.096e-04 1.210e-06 3.995e-06 2.421e+04 7.976e+04 1.004 1.011 1.940e-01 1.083e+00
2.239e-04 1.230e-04 1.523e-06 5.025e-06 2.157e+04 7.099e+04 1.004 1.012 2.054e-01 1.084e+00
2.512e-04 1.380e-04 1.916e-06 6.320e-06 1.921e+04 6.318e+04 1.005 1.014 2.174e-01 1.085e+00
2.818e-04 1.549e-04 2.412e-06 7.948e-06 1.711e+04 5.622e+04 1.005 1.015 2.301e-01 1.085e+00
3.162e-04 1.738e-04 3.035e-06 9.993e-06 1.524e+04 5.001e+04 1.006 1.017 2.436e-01 1.086e+00
3.548e-04 1.951e-04 3.819e-06 1.256e-05 1.358e+04 4.448e+04 1.007 1.019 2.578e-01 1.087e+00
3.981e-04 2.189e-04 4.805e-06 1.579e-05 1.209e+04 3.955e+04 1.008 1.021 2.728e-01 1.085e+00
4.467e-04 2.456e-04 6.045e-06 1.985e-05 1.076e+04 3.516e+04 1.009 1.024 2.887e-01 1.079e+00
5.012e-04 2.757e-04 7.605e-06 2.494e-05 9.584e+03 3.124e+04 1.010 1.027 3.055e-01 1.079e+00
5.623e-04 3.094e-04 9.567e-06 3.132e-05 8.532e+03 2.775e+04 1.011 1.030 3.232e-01 1.079e+00
6.310e-04 3.472e-04 1.203e-05 3.934e-05 7.594e+03 2.464e+04 1.012 1.034 3.418e-01 1.079e+00
7.079e-04 3.897e-04 1.513e-05 4.939e-05 6.758e+03 2.187e+04 1.013 1.038 3.615e-01 1.079e+00
7.943e-04 4.373e-04 1.903e-05 6.199e-05 6.013e+03 1.941e+04 1.015 1.042 3.822e-01 1.076e+00
8.913e-04 4.909e-04 2.393e-05 7.777e-05 5.350e+03 1.721e+04 1.017 1.048 4.040e-01 1.076e+00
1.000e-03 5.510e-04 3.009e-05 9.752e-05 4.758e+03 1.525e+04 1.019 1.053 4.270e-01 1.076e+00
1.122e-03 6.185e-04 3.782e-05 1.222e-04 4.231e+03 1.350e+04 1.021 1.060 4.511e-01 1.075e+00
1.259e-03 6.943e-04 4.753e-05 1.532e-04 3.761e+03 1.194e+04 1.024 1.067 4.765e-01 1.074e+00
1.413e-03 7.794e-04 5.972e-05 1.918e-04 3.342e+03 1.056e+04 1.027 1.075 5.031e-01 1.073e+00
1.585e-03 8.751e-04 7.502e-05 2.400e-04 2.969e+03 9.325e+03 1.030 1.084 5.310e-01 1.071e+00
1.778e-03 9.826e-04 9.421e-05 3.000e-04 2.637e+03 8.227e+03 1.033 1.094 5.602e-01 1.070e+00
1.995e-03 1.103e-03 1.183e-04 3.749e-04 2.340e+03 7.249e+03 1.037 1.105 5.907e-01 1.068e+00
2.239e-03 1.239e-03 1.485e-04 4.679e-04 2.076e+03 6.379e+03 1.042 1.117 6.226e-01 1.066e+00
2.512e-03 1.392e-03 1.863e-04 5.835e-04 1.841e+03 5.604e+03 1.047 1.131 6.558e-01 1.063e+00
2.818e-03 1.563e-03 2.336e-04 7.269e-04 1.632e+03 4.916e+03 1.052 1.146 6.903e-01 1.058e+00
3.162e-03 1.756e-03 2.928e-04 9.043e-04 1.445e+03 4.304e+03 1.059 1.163 7.260e-01 1.054e+00
3.548e-03 1.973e-03 3.669e-04 1.123e-03 1.279e+03 3.760e+03 1.066 1.182 7.630e-01 1.050e+00
3.981e-03 2.217e-03 4.594e-04 1.394e-03 1.130e+03 3.278e+03 1.073 1.203 8.011e-01 1.045e+00
4.467e-03 2.492e-03 5.749e-04 1.726e-03 9.985e+02 2.850e+03 1.082 1.227 8.403e-01 1.039e+00
5.012e-03 2.802e-03 7.190e-04 2.133e-03 8.811e+02 2.471e+03 1.091 1.252 8.804e-01 1.032e+00
5.623e-03 3.151e-03 8.984e-04 2.632e-03 7.766e+02 2.136e+03 1.102 1.280 9.212e-01 1.024e+00
6.310e-03 3.545e-03 1.122e-03 3.239e-03 6.836e+02 1.840e+03 1.114 1.311 9.626e-01 1.015e+00
7.079e-03 3.989e-03 1.399e-03 3.976e-03 6.009e+02 1.579e+03 1.127 1.345 1.004e+00 1.005e+00
7.943e-03 4.491e-03 1.743e-03 4.869e-03 5.274e+02 1.350e+03 1.141 1.383 1.046e+00 9.934e-01
8.913e-03 5.058e-03 2.169e-03 5.943e-03 4.620e+02 1.148e+03 1.157 1.423 1.088e+00 9.808e-01
1.000e-02 5.699e-03 2.696e-03 7.232e-03 4.040e+02 9.724e+02 1.175 1.467 1.129e+00 9.666e-01
1.122e-02 6.426e-03 3.347e-03 8.769e-03 3.525e+02 8.191e+02 1.194 1.514 1.168e+00 9.515e-01
1.259e-02 7.250e-03 4.147e-03 1.059e-02 3.069e+02 6.862e+02 1.215 1.564 1.207e+00 9.336e-01
1.413e-02 8.185e-03 5.130e-03 1.274e-02 2.665e+02 5.714e+02 1.238 1.617 1.243e+00 9.147e-01
1.585e-02 9.250e-03 6.334e-03 1.527e-02 2.308e+02 4.728e+02 1.263 1.673 1.277e+00 8.941e-01
1.778e-02 1.046e-02 7.805e-03 1.821e-02 1.992e+02 3.887e+02 1.291 1.731 1.309e+00 8.718e-01
1.995e-02 1.185e-02 9.595e-03 2.161e-02 1.714e+02 3.174e+02 1.320 1.789 1.336e+00 8.726e-01
2.239e-02 1.344e-02 1.177e-02 2.552e-02 1.470e+02 2.574e+02 1.353 1.848 1.361e+00 8.210e-01
2.512e-02 1.526e-02 1.439e-02 2.998e-02 1.255e+02 2.074e+02 1.387 1.905 1.380e+00 7.943e-01
2.818e-02 1.736e-02 1.755e-02 3.504e-02 1.068e+02 1.660e+02 1.424 1.958 1.396e+00 7.668e-01
3.162e-02 1.978e-02 2.134e-02 4.075e-02 9.042e+01 1.322e+02 1.464 2.005 1.407e+00 7.377e-01
