# /home/xozidok/work/codes/contra/contra 0 1 1 1 0 9.86 0 0.075 0.013 0 1
# Standard model of Adiabatic Contraction
# Dark matter profile: Navarro, Frenk & White (1997) model, c=9.86
# Baryon distribution: Exponential model, fb=0.075 rb=0.013
# Tracer population: Exponential model with isotropic velocity distribution
# los velocity dispersion integrated out to 3 R_vir
#
# r_i       r_f       m_i       m_f       rho_i     rho_f   gam_i gam_f   v_circ  sigma_los
1.000e-04 4.439e-05 3.040e-07 1.539e-06 4.835e+04 2.444e+05 1.002 1.007 1.936e-01 1.447e+00
1.122e-04 4.981e-05 3.826e-07 1.936e-06 4.308e+04 2.177e+05 1.002 1.007 2.050e-01 1.447e+00
1.259e-04 5.589e-05 4.816e-07 2.437e-06 3.839e+04 1.938e+05 1.003 1.008 2.170e-01 1.448e+00
1.413e-04 6.271e-05 6.062e-07 3.065e-06 3.420e+04 1.726e+05 1.003 1.009 2.298e-01 1.449e+00
1.585e-04 7.037e-05 7.630e-07 3.856e-06 3.047e+04 1.537e+05 1.003 1.010 2.433e-01 1.449e+00
1.778e-04 7.896e-05 9.603e-07 4.851e-06 2.715e+04 1.368e+05 1.003 1.011 2.576e-01 1.450e+00
1.995e-04 8.860e-05 1.209e-06 6.102e-06 2.419e+04 1.218e+05 1.004 1.012 2.728e-01 1.451e+00
2.239e-04 9.942e-05 1.521e-06 7.674e-06 2.154e+04 1.083e+05 1.004 1.014 2.888e-01 1.452e+00
2.512e-04 1.116e-04 1.914e-06 9.650e-06 1.919e+04 9.640e+04 1.005 1.016 3.057e-01 1.453e+00
2.818e-04 1.252e-04 2.409e-06 1.213e-05 1.709e+04 8.576e+04 1.006 1.017 3.236e-01 1.454e+00
3.162e-04 1.405e-04 3.031e-06 1.525e-05 1.522e+04 7.627e+04 1.006 1.020 3.425e-01 1.452e+00
3.548e-04 1.576e-04 3.814e-06 1.917e-05 1.356e+04 6.781e+04 1.007 1.022 3.624e-01 1.453e+00
3.981e-04 1.769e-04 4.799e-06 2.409e-05 1.207e+04 6.028e+04 1.008 1.025 3.835e-01 1.453e+00
4.467e-04 1.985e-04 6.038e-06 3.027e-05 1.075e+04 5.356e+04 1.009 1.028 4.058e-01 1.445e+00
5.012e-04 2.227e-04 7.596e-06 3.802e-05 9.571e+03 4.758e+04 1.010 1.031 4.293e-01 1.445e+00
5.623e-04 2.499e-04 9.555e-06 4.775e-05 8.520e+03 4.224e+04 1.011 1.035 4.540e-01 1.445e+00
6.310e-04 2.805e-04 1.202e-05 5.995e-05 7.583e+03 3.749e+04 1.012 1.039 4.802e-01 1.445e+00
7.079e-04 3.148e-04 1.511e-05 7.523e-05 6.749e+03 3.326e+04 1.014 1.043 5.077e-01 1.445e+00
